Category,Phrase
In the Kitchen,A Can Of Pie Filling
In the Kitchen,A Can Of Tomato Puree
In the Kitchen,A Can Of Tomato Soup
People,A Cappella Group
Thing,A Car Alarm Going Off Late At Night
Phrase,A Career That Spanned Generations
Rhyme Time,A Cargo Of Cocoa
Place,A Caribbean Hot Spot
Title,A Case Of Need
Phrase,A Case Of The Blahs
Thing,A Case Of Wanderlust
Phrase,A Cast Of Thousands
Rhyme Time,A Cat Caught A Rat
Title,A Certain Age
Thing,A Change Of Heart
Title,A Charlie Brown Thanksgiving
Phrase,A Cheap Shot
Thing,A Chill In The Air
Phrase,A Chip Off The Old Block
Before and After,A Chip Off The Old Block And Tackle
Before and After,A Chip Off The Old Block Party
Phrase,A Chip On Your Shoulder
Same Name,A Chorus & Waiting Line
Title,A Chorus Line
Movie Title,A Christmas Carol
Title,A Christmas Carol
Title/Author,A Christmas Carol By Charles Dickens
Movie Title,A Christmas Story
Before and After,A Christmas Story For The Ages
Movie Title,A Christmas Tale
Place,A City For Foodies
Place,A City For Kids And Adults
Phrase,A City Full Of Art & History
Place,A City Full Of Art & History
Phrase,A City Full Of Possibilities
Phrase,A City Rich In History
Place,A City With A Rich History
Place,A City With Distinct Character
Title,A Clash Of Kings
Phrase,A Class Act
Phrase,A Clean Sweep
Event,A Clear & Snowy Night
Movie Title,A Clockwork Orange
Title,A Clockwork Orange
Thing,A Collection Of Old Family Recipes
Thing,A Collection Of Old Family Recipes And Cookbooks
Event,A Come From Behind Win
Event,A Come-From-Behind Win
Person,A Comedian Getting Huge Laughs
Person,A Comedy Team's Straight Man
Thing,A Cooler Filled With Ice-Cold Beer
Thing,A Cooler With Bottled Water
Thing,A Corncob Pipe & A Button Nose
Song Title,A Country Girl In Paris
Place,A Country Of Glaciers
Event,A Cricket Match At The Gabba
Thing,A Crop Of Soybeans
Rhyme Time,A Crosswalk In Bangkok
People,A Crowd Flooding In
Event,A Cruise Across The Ocean
Event,A Cruise Along The Mexican Riviera
Event,A Cruise Along The Nile
Event,A Cruise Like No Other
Event,A Cruise Through The Northwest Passage
Event,A Cruise To A Faraway Island
Event,A Cruise To The Islands
Rhyme Time,A Crumpled Horn In A Bag Of Corn
Song Title,A Cup Of Coffee A Sandwich And You
Food and Drink,A Cup Of Coffee And A Cookie
Food and Drink,A Cup Of Hot Chocolate
Food and Drink,A Cup Of Oatmeal
Food and Drink,A Cup Of Yogurt With Crunchy Granola
Thing,A Cure For The Common Cold
Before and After,A Cure For The Common Cold Cuts
Person,A Cut Above
Phrase,A Cut Above
Before and After,A Cut Above The Rest Is History
Event,A Cycling Trip Along The Coast
Fictional Character,A Damsel In Distress
Title,A Dance With Dragons
Event,A Date At The Coffeehouse
Quotation,A Date That Will Live In Infamy
Event,A Day At The Zoo
TV Show Title,A Day In The Life
Phrase,A Day Late & A Dollar Short
Phrase,A Day Late And A Dollar Short
Event,A Day Of Sunshine And Smiles
Event,A Day Trip To Cute Little Village
Event,A Day Trip To Niagara Falls
Thing,A Degree In Art Design
Food and Drink,A Delicious Meat Soup Called Fatta
Food and Drink,A Delicious Piece Of Birthday Cake
Thing,A Delightful Day
Phrase,A Diamond In The Rough
Rhyme Time,A Diamond Ring Is A Golden Thing
Thing,A Diet Of Fruits & Vegetables
Event,A Difficult Hike
Phrase,A Dime A Dozen
Event,A Dinner Cruise Aboard A Riverboat
Slogan,A Dinner Worth Getting Excited About
Fun and Games,A Dip In The Pool
Living Thing,A Dog Burying His Nose In The Snow
Living Thing,A Dog Catching A Frisbee
Living Thing,A Dog Chasing Its Tail
Food and Drink,A Dollop Of Yogurt
Thing,A Dream Come True
Before and After,A Dream Come True Detective
Song Lyrics,A Dream Is A Wish Your Heart Makes
Event,A Dream Vacation In Wine Country
Thing,A Dress Worn By Audrey Hepburn
Event,A Drive Along The Coast
Food and Drink,A Drizzle Of Oil
Phrase,A Drop In The Bucket
Rhyme Time,A Dumber Plumber
Thing,A Fabulous Adventure
Phrase,A Fabulous Day For A Game
Event,A Fabulous Tour Of Vienna
Thing,A Face Full Of Freckles
Rhyme Time,A Fair Contest At Best
Phrase,A Fair Value
Thing,A Fairy Tale Ending
Thing,A Fairy-Tale Ending
Fun and Games,A Family Game Of Charades
Event,A Family Gathering
Person,A Famous Movie Critic
Place,A Faraway Land
Phrase,A Fate Worse Than Death
Thing,A Father's Heart
Phrase,A Feast For The Eyes
Phrase,A Feast For The Senses
Phrase,A Feather In My Cap
Phrase,A Feather In One's Cap
Phrase,A Few Laughs
Thing,A Few Laughs
Place,A Field Of Wildflowers
Place,A Film-Lover's Town
Thing,A Firm Grip
Phrase,A First Time For Everything
Movie Title,A Fish Called Wanda
Phrase,A Fish Out Of Water
Place,A Fisherman's Hut
Movie Title,A Fistful Of Dollars
Movie Title,A Fistfull Of Dollars
Thing,A Fleet Of Historic Vessels
Thing,A Flight Of Stairs
Living Thing,A Flock Of Geese
Proper Name,A Flock Of Seagulls
Living Thing,A Flower In Full Bloom
Phrase,A Foot In The Door
Thing,A Foreign Language
Thing,A Fork In The Road
Rhyme Time,A Fox In A Box
Thing,A Fresh Coat Of Paint
Phrase,A Fresh Pair Of Eyes
Thing,A Fresh Start
Phrase,A Fresh Take
Person,A Friend Of A Friend
Title,A Friend Of The Earth
Rhyme Time,A Friend To The Bitter End
Rhyme Time,A Friend To The End
Event,A Friend's Wedding
Fun and Games,A Friendly Game Of Marbles
Phrase,A Friendly Piece Of Advice
Rhyme Time,A Frog On A Log
Event,A Game In Extra Innings
Phrase,A Game Of Cat – And – Mouse
Phrase,A Game Of Cat And Mouse
Phrase,A Game Of Cat-And-Mouse
Fun and Games,A Game Of Craps
Thing,A Game Of Craps
Thing,A Game Of Frogger
Event,A Game Of Scrimmage
Event,A Gathering Around A Fire Pit
Event,A Gathering Around Fire Pit
Event,A Get Together With Family And Friends
Event,A Get-Together With Friends & Family
Event,A Get-Together With Friends And Family
Food and Drink,A Giant Helping Of Mashed Sweet Potatoes
Fictional Character,A Giant Robot
Food and Drink,A Giant Slice Of Apple Pie
Food and Drink,A Giant Slice Of Devil's Food Cake
Food and Drink,A Giant Slide Of Devil's Food Cake
Phrase,A Girl In Every Port
Event,A Glamping Adventure
Thing,A Glass Bowl Filled With Eggnog
Food and Drink,A Glass Of Bicarbonate Of Soda
Food and Drink,A Glass Of Chardonnay
Food and Drink,A Glass Of Fresh Pineapple Juice
Food and Drink,A Glass Of Ginger Juice
Thing,A Glass Of Ginger Juice
Food and Drink,A Glass Of Vino
Food and Drink,A Glass Of Water
Before and After,A Glass Of Water Buffalo
Thing,A Glimpse Backstage
Phrase,A Glimpse Into The Future
Phrase,A Glimpse Into The Past
What Are You Wearing,A Gold Medallion
Thing,A Good Buy
Movie Title,A Good Day To Die Hard
Quotation,A Good Deed Is Never Lost
Phrase,A Good Fit
Place,A Good Fit
Thing,A Good Fit
Thing,A Good Laugh
Person,A Good Listener
Phrase,A Good Neighbor A Found Treasure
Rhyme Time,A Good Review For You
Thing,A Good Sense Of Humor
Person,A Good Sport
Thing,A Good Vibe
Thing,A Goofy Grin
Living Thing,A Gorilla Pounding His Chest
Thing,A Great Big Hug
Thing,A Great Book
Phrase,A Great Buy
Thing,A Great Buy
Title,A Great Buy
Place,A Great City
Thing,A Great City
Thing,A Great Day
Phrase,A Great Day For A Hike
Thing,A Great Deal
Phrase,A Great Love Of Literature
Thing,A Great Photo Op
Food and Drink,A Great Pick-Me-Up
Thing,A Great Pick-Me-Up
Phrase,A Great Place To Unwind
Thing,A Great Sense Of Accomplishment
Thing,A Great Sense Of Humor
Place,A Great Vacation Destination
The 80’s,A Groovy Kind Of Love
People,A Group Of Friends
Living Thing,A Group Of Hedgehogs
People,A Group Of Kids
Thing,A Growing Business
Place,A Growing Family City
Event,A Guided Fishing Trip On The Rogue River
Fun and Games,A Hand Of Blackjack
Thing,A Handful Of Paper Clips
Thing,A Handful Of Paperclips
Rhyme Time,A Handsome Ransom
Thing,A Handwritten Letter
Rhyme Time,A Happy Meal Is The Real Deal
Phrase,A Happy Medium
Before and After,A Hard Act To Follow The Leader
Song/Artist,A Hard Day's Night By The Beatles
Phrase,A Hard Day's Work
Thing,A Hard-And Fast Rule
Thing,A Hard-And-Fast Rule
Living Thing,A Healthy Dog With A Silky Coat
Thing,A Heart Filled With Love
Living Thing,A Hen Sitting On Her Nest
Living Thing,A Herd Of Galloping Antelopes
Living Thing,A Herd Of Livestock
Thing,A High Voice
Event,A Hike In Mount Hood
Thing,A Hike In The Woods
Event,A Hike On A Greek Island
Event,A Hike On Mount Hood
Event,A Hike To The Top Of Saddle Mountain
Phrase,A Hint Of Class
Thing,A Hole In One
Before and After,A Hole In One-Way Ticket
Song Title,A Holly Jolly Christmas
Event,A Honeymoon In An Exotic Location
Event,A Honeymoon In An Exotic Location Event
Phrase,A Hop Skip & A Jump
Thing,A Hop Skip & A Jump
Before and After,A Hop Skip And A Jump
Song Lyrics,A Horse Is A Horse Of Course Of Course
Living Thing,A Horse Pulling A Wagon
Living Thing,A Horse Trotting Down A Beach
Song Title,A Horse With No Name
Before and After,A House Is Not A Home On The Range
Thing,A Household Name
Fictional Character,A Howling Werewolf
Food and Drink,A Huge Bowl Of Fresh Raw Oysters
Thing,A Huge Favor
Thing,A Huge Grin
Thing,A Huge Hit
Thing,A Huge Impact
Event,A Humbling Experience
Title,A Is For Alibi
Title/Author,A Is For Alibi By Sue Grafton
Place,A Jam-Packed Arena
In the Kitchen,A Jar Of Maraschino Cherries
In the Kitchen,A Jar Of Spaghetti Sauce
In the Kitchen,A Jar Of Wild Honey
Rhyme Time,A Jewel Of A Pool
Rhyme Time,A Jewel Of A Rule
Thing,A Job Well Done
Thing,A Joyful Time
Phrase,A Kid At Heart
Thing,A Kiss On The Cheek
Fictional Character,A Knight In Shining Armor
Thing,A Known Fact
Phrase,A Kodak Moment
Phrase,A Labor Of Love
Quotation,A Lannister Always Pays His Debits
Quotation,A Lannister Always Pays His Debts
Food and Drink,A Large Bucket Of Buttered Popcorn
Food and Drink,A Large Glass Bowl Of Green Candy
Food and Drink,A Large Paper Cup Of Soda
Living Thing,A Large Pot Of Porpoises
Phrase,A Legend In His Own Mind
Phrase,A Legend In His Own Time
Phrase,A Leopard Can Not Change It's Spots
Thing,A Letter To Santa
Thing,A Light Touch
Thing,A Light-Bulb Moment
Phrase,A Likely Story
Thing,A Lion's Tail Hanging Off My Belt
Living Thing,A Lioness & Her Cubs
Living Thing,A Litter Of Puppies
Phrase,A Little Bird Told Me
Phrase,A Little Bit Of This And A Little Bit Of That
Phrase,A Little Friendly Competition
Title,A Little Life
Song Title,A Little More Summertime
Thing,A Little More Summertime
Title,A Little Night Music
Phrase,A Little Slice Of Paradise
Show Biz,A Live Performance Of The Nutcracker
Living Thing,A Living Pack Of Coyotes
Living Thing,A Local's Guide To The City
Thing,A Local's Guide To The City
Rhyme Time,A Locket In Your Pocket
Event,A Long Hot Shower
Before and After,A Long Shot In The Dark
Event,A Long Walk On The Beach
Title,A Long Way Down
Phrase,A Lot On Your Plate
Thing,A Loud Voice
Rhyme Time,A Louse Of A Mouse
Song/Artist,A Love Song By Kenny Rogers
Thing,A Lovely Gesture
Thing,A Loving Father's Advice
Thing,A Lump Sum
Phrase,A Man After My Own Heart
Person,A Man Of Great Character
Person,A Man Of Many Talents
Before and After,A Man On A Mission Statement
Quotation,A Martini Shaken Not Stirred
Quotation,A Martini. Shaken Not Stirred.
Phrase,A Match Made In Heaven
Title,A Matter Of Gravity
Phrase,A Matter Of Trust
Rhyme Time,A Meadow Covered In Corn Snow
Phrase,A Meal Fit For A King
Phrase,A Meal In Itself
Thing,A Medley Of Hit Songs
Person,A Member In Good Standing
Person,A Member Of The Club
Event,A Memorable Birthday
Title,A Midsummer Night's Dream
Phrase,A Mile A Minute
Phrase,A Million Dollar Smile
Movie Title,A Million Ways To Die In The West
Phrase,A Million-Dollar Smile
Thing,A Million-Dollar Smile
Rhyme Time,A Millionaire Can Care
Person,A Millionaire Many Times Over
Thing,A Miniature New York
Phrase,A Miss Is As Good As A Mile
Phrase,A Mix Of Current And Traditional Trends
People,A Mix Of Tourists & Locals
Phrase,A Mixed Bag
Phrase,A Modern Twist On Classic Fashion
Phrase,A Modern Twist On Classic Fashions
Song Title,A Moment Like This
Phrase,A Month Of Sundays
Living Thing,A Mother Bear & Her Cubs
Living Thing,A Mother Bear And Her Cubs
Phrase,A Mother Knows
Thing,A Mother's Love
Phrase,A Mother's Work Is Never Done
Phrase,A Mothers Love
Show Biz,A Movie The Entire Family Can See
Thing,A Mug Of Green Beer
Event,A Mule Trip Into The Grand Canyon
Event,A Musical Tour Of Vienna
Thing,A New Bedroom Set
Thing,A New Car
Thing,A New Culture
Event,A New Dinosaur Adventure
Thing,A New Handbag
Thing,A New Idea
Event,A New King's Coronation
Phrase,A New Lease On Life
In the Kitchen,A New Mixer
Thing,A New Pair Of Shoes
Thing,A New Passport Wallet
Show Biz,A New Season Of Arrested Development
Thing,A New Tie
Phrase,A New Twist
Phrase,A Nice Change Of Pace
Phrase,A Nice Chunk Of Change
Event,A Nice Hot Shower
Thing,A Nice Hot Shower
Title,A Nice Hot Shower
Event,A Night At The Ballet
Event,A Night At The Opera
Movie Title,A Night At The Opera
Movie Title,A Night In Old Mexico
Event,A Night Of Club Hopping
Event,A Night Of Club-Hopping
Event,A Night Of Dinner & Dancing
Event,A Night Of Dinner And Dancing
Event,A Night On The Town
Event,A Night Out On The Town On Sixth Street
Event,A Night Out With Friends
Event,A Night To Remember
Event,A Night Under The Stars
Movie Title,A Nightmare On Elm Street
Rhyme Time,A Nightshirt Will Never Hurt
Before and After,A No-Win Situation Comedy
Phrase,A No-Win Situation Comedy
Phrase,A Nose For News
Before and After,A Nose For News Director
Thing,A Novel Idea
Phrase,A Once In A Lifetime Opportunity
Thing,A Pablo Picasso Masterpiece
Landmark,A Pack Of Coyotes
Living Thing,A Pack Of Coyotes
Living Thing,A Pack Of Wolves
In the Kitchen,A Package Of Brown Gravy Mix
Place,A Packed House
Thing,A Pair Of Comfortable Skates
Thing,A Pair Of First-Class Airline Tickets
Thing,A Pair Of First-Class Airplane Tickets
Living Thing,A Pair Of Goldfinches
Food and Drink,A Pan Of Fudge
In the Kitchen,A Pan Of Hot Oil
Food and Drink,A Pan Of Warm Cornbread
People,A Panel Of Experts
Thing,A Panoramic View Of The City
Phrase,A Paradise For Adventurers
Song Lyrics,A Partridge In A Pear Tree
Quotation,A Party Without Cake Is Just A Meeting
Title,A Passage To India
Thing,A Passport With Many Stamps
Phrase,A Pat On The Back
Thing,A Pat On The Back
Title,A Pat On The Back
Living Thing,A Patch Of Palm Trees In The Desert
Thing,A Path Of Rose Petals
Phrase,A Pause In The Action
Rhyme Time,A Pearl Of A Girl
Phrase,A Penny For Your Thoughts
Phrase,A Penny Saved Is A Penny Earned
Phrase,A Perfect Fit
Phrase,A Perfect Getaway For Outdoor Enthusiasts
Thing,A Perfect Relationship
Phrase,A Perfect Trip For Two
Rhyme Time,A Pessimist Might Shake A Fist
Phrase,A Pet Is A Member Of The Family
Fictional Character,A Phantom Holding A Sickle
Event,A Picnic In The Park
Phrase,A Picture Is Worth A Thousand Words
Thing,A Picture Of My Cat With Santa Claus
Phrase,A Pictures Worth A Thousand Words
Phrase,A Piece Of Cake
Phrase,A Piece Of The Action
Thing,A Pile Of Books & Papers
Around the House,A Pile Of Coats
Around the House,A Pile Of Coats On The Bed
Thing,A Pinch Of Salt
Food and Drink,A Pitcher Of Strawberry Lemonade
Food and Drink,A Pitcher Of Sweetened Iced Tea
Movie Title,A Place In The Sun
TV Show Title,A Place To Call Home
Place,A Place To Renew The Spirit
Food and Drink,A Platter Of Cold Cuts & Cheese Slices
Phrase,A Playground For Nature Lovers
Phrase,A Playground For Outdoor Enthusiasts
Thing,A Plea Of Not Guilty
Event,A Pleasant Stroll Along The River
Thing,A Pleasant Surprise
Thing,A Pledge Of Silence
Living Thing,A Plethora Of Bird Species
Quotation,A Pocket Full Of Rye
Quotation,A Pocketful Of Posies
Event,A Poolside Party
Food and Drink,A Pot Of Mulled Wine
Food and Drink,A Pot Of Seafood Gumbo
Phrase,A Pretty Penny
Place,A Private Resort
Phrase,A Quick Bite
Before and After,A Quick Bite To Eat My Words
Event,A Quick Break
Event,A Quick Drive
Thing,A Quick Flight
Thing,A Quick Glance
Phrase,A Quick Pick-Me-Up
Thing,A Quick Read
Phrase,A Quick Run
Thing,A Quick Run
Thing,A Quick Smooch
Thing,A Quiet Moment
Movie Title,A Quiet Place
Thing,A Rack Of Suit Jacketed
Thing,A Rack Of Suit Jackets
Event,A Rafting Trip Down The Colorado River
Event,A Rafting Trip In The Grand Canyon
Phrase,A Rare Look Into
Phrase,A Real Bummer
Person,A Real Crowd-Pleaser
Song Lyrics,A Real Live Nephew Of My Uncle Sam
Phrase,A Real Page-Turner
Thing,A Really Great Travel Deal
Thing,A Recipe For Perfect Naan
Phrase,A Red Herring
Event,A Red-Letter Day
Phrase,A Red-Letter Day
Before and After,A Red-Letter Day By Day
Person,A Referee Blowing A Whistle
Phrase,A Refreshing Dip In The Ocean
Thing,A Refreshing Dip In The Ocean
Thing,A Refreshing Swim
Event,A Relaxing Afternoon
Thing,A Relaxing Bath
Event,A Relaxing Family Visit
Title,A Reliable Wife
Thing,A Replica Of The Statue Of Liberty
Phrase,A Return To The Basics
Rhyme Time,A Rich Snitch
Food and Drink,A Rich Strong Cup Of Coffee
Event,A Ride Across The Golden Gate Bridge
Event,A Ride On The London Eye
Phrase,A Rip-Snortin' Good Time
Phrase,A Rip-Snorting Good Time
Phrase,A Rip'snortin Good Time
Event,A Road Trip Through The Western States
Thing,A Roll Of Duct Tape
In the Kitchen,A Roll Of Paper Towels
In the Kitchen,A Roll Of Parchment Paper
Phrase,A Roll Of The Dice
Phrase,A Rollicking Good Time
Phrase,A Rolling Stone Gathers No Moss
Movie Title,A Romance In Shanghai
Place,A Romantic Castle In The Countryside
Event,A Romantic Dinner For Two
Event,A Romantic Dinner For Two People
Event,A Romantic Getaway In The Mountains
Event,A Romantic Picnic At The Beach
Event,A Romantic Valentine's Day
Event,A Romantic Walk Through The New-Fallen Snow
Thing,A Round Of Applause
Thing,A Round Of Golf
Fun and Games,A Round Of Lawn Bowling
Fun and Games,A Round Of Miniature Golf
Thing,A Rush Of Adrenaline
Place,A Rustic Lodge In The Cloud Forest
Food and Drink,A Scoop Of Gelato
Thing,A Sea Of Clouds
Event,A Search For Fossils
Phrase,A Senate Term Is Six Years
Event,A Series Of Presidential Primaries
Thing,A Series Renewed For Another Season
Thing,A Sharp Pencil
Before and After,A Sheepish Grin And Bear It
Around the House,A Shelf Full Of Knickknacks
Before and After,A Shiny New Penny Marshall
Quotation,A Ship Does Not Sail With Yesterday's Wind
Thing,A Short Stroll Before Dinner
Phrase,A Shoulder To Lean On
Phrase,A Show Of Hands
Thing,A Show That Opened To Rave Reviews
Food and Drink,A Side Of Hummus
Food and Drink,A Side Of Potatoes
Event,A Side Trip To The Colorado River
Thing,A Sigh Of Relief
Phrase,A Sight For Sore Eyes
Show Biz,A Sight Gag
Phrase,A Sight To Behold
Phrase,A Sign From Above
Rhyme Time,A Silo In Ohio
Thing,A Sixth Sense
Place,A Ski Resort In The Andes
Event,A Ski Trip To Whistler
Rhyme Time,A Skunk That Stunk
Food and Drink,A Slice Of A Hearty Vienna Bread
Food and Drink,A Slice Of Cheesecake
Food and Drink,A Slice Of Cherry Pie
Food and Drink,A Slice Of Coconut Layer Cake
Food and Drink,A Slice Of Hearty Vienna Bread
Phrase,A Slip Of The Tongue
Food and Drink,A Small Dish With A Scoop Of Vanilla Ice Cream
Phrase,A Small Price To Pay
Thing,A Smarter Smartphone
Phrase,A Smashing Evening
Rhyme Time,A Snail And A Whale
Phrase,A Snug Fit
Thing,A Snug Fit
Event,A Soak In A Thermal Spring
Around the House,A Sock With Holes In It
Song Title,A Song For Mama
Song Title,A Song For Paris
Title,A Song Of Ice And Fire
Person,A Source Who Asked Not To Be Identified
Place,A Spacious Estate On The Beach In Malibu
Person,A Special Someone
Food and Drink,A Spicy Cheese Spread
Phrase,A Splash Of Continental Flair
Title,A Spool Of Blue Thread
Song Title,A Spoonful Of Sugar
Song Lyrics,A Spoonful Of Sugar Helps The Medicine Go Down
Phrase,A Spring In Your Step
Food and Drink,A Squeeze Of Lemon
Food and Drink,A Squirt Of Lime
Thing,A Stack Of Cds
Thing,A Stack Of Greenbacks
Thing,A Stack Of Travel Brochures
Thing,A Stamp On My Passport
Thing,A Stamp On Your Passport
Movie Title,A Star Is Born
Place,A State With Great History
Event,A Stay In An Unique Mountaintop Home
Food and Drink,A Steaming-Hot Bowl Of Matzo-Ball Soup
Phrase,A Step In The Right Direction
Phrase,A Stitch In Time Saves Nine
Phrase,A Storm On The Horizon
Rhyme Time,A Strand Of A Rubber Band
Title/Author,A Stranger In A Strange Land By Robert Heinlein
Classic Movie,A Streetcar Named Desire
Movie Title,A Streetcar Named Desire
Thing,A String Of Pearls
Phrase,A Stroke Of Genius
Thing,A Stroke Of Luck
Event,A Stroll Around Nami Island
Thing,A Stroll Around The Block
Event,A Stroll On The Beach
Place,A Stroll On The Beach
Place,A Stroll On The Beach At Sunrise
Place,A Stroll On The Beach At Sunset
Thing,A Stroll Through A Garden
Event,A Stroll Through The Streets Of Alfama
Thing,A Suitcase Filled With Cash
Movie Title,A Summer Place
Song Title,A Summer Song
Song/Artist,A Summer Song By Chad & Jeremy
Rhyme Time,A Sweet Torte Served In Open Court
Food and Drink,A Sweet Treat Fried Milk
Phrase,A Swing And A Miss
Event,A Symphony Of Lights Laser-Light Show
Thing,A System Of Channels & Bridges
Food and Drink,A Tablespoon Of Honey
Title/Author,A Tale Of Two Cities By Charles Dickens
Song Title,A Taste Of Honey
Phrase,A Taste Of The Good Life
Phrase,A Taste Of The Old West
Food and Drink,A Tasty Meal
Thing,A Teachable Moment
Thing,A Teaspoon Of Turmeric
Title,A Teaspoon Of Turmeric
Food and Drink,A Teaspoon Of Wild Honey
Thing,A Tempting Idea
Event,A Ten-Minute Nap
Thing,A Thick Roll Of Duct Tape
Food and Drink,A Thick Slice Of Boston Cream Pie
Thing,A Thick Wad Of Bills
Quotation,A Thing Of Beauty Is A Joy Forever
Song Title,A Thousand Miles From Nowhere
Title,A Thousand Splendid Suns
Phrase,A Thrill A Minute
Thing,A Tight Grip
Title,A Time Apart
Movie Title,A Time To Kill
Event,A Tip To The Sunshine State
Rhyme Time,A Toad In The Road
Phrase,A Toast To The Bride And Groom
Phrase,A Ton Of Fun
Phrase,A Touch Of Class
Phrase,A Touch Of Sweetness
Phrase,A Tough Act To Follow
Rhyme Time,A Tough Guy In A Bow Tie
Phrase,A Tough Nut To Crack
Event,A Tour Of A Famous Monastery
Event,A Tour Of A Medieval Castle
Event,A Tour Of Charming Towns
Event,A Tour Of Mayan Ruins
Event,A Tour Of Prague
Event,A Tour Of The Amazon
Event,A Tour Of The City
Event,A Tour Of The Covered Bridges
Event,A Tour Of The Greek Islands
Event,A Tour Of The Greel Islands
Event,A Tour Of The State Capitol
Event,A Tour Of The Taj Mahal
Event,A Tour Of The White House
Event,A Tour Of Westminster Abbey
Event,A Tour On The Grand Canyon Railway
Phrase,A Towering Beacon For The World
Thing,A Trail Of Rose Petals
Title,A Tree Grows In Brooklyn
Thing,A Tree's Growth Rings
Thing,A Tricolor Flag
Event,A Trip Abroad
Thing,A Trip For The Whole Family
Event,A Trip Out West
Event,A Trip Overseas
Thing,A Trip Overseas
Event,A Trip Through The Mangroves
Event,A Trip To A Fish Hatchery
Event,A Trip To A Frontier Town
Event,A Trip To A Green Recreational Area
